# xmin, ymin, xmax, ymax, varxc, varyc, varw, varh
4.950788021087646484e-01,0.000000000000000000e+00,6.365001797676086426e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.304341316223144531e-01,0.000000000000000000e+00,6.011447906494140625e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.421052575111389160e-01,0.000000000000000000e+00,6.421052813529968262e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.213946104049682617e-01,0.000000000000000000e+00,6.628159284591674805e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.567499399185180664e-01,0.000000000000000000e+00,6.274605989456176758e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.684210658073425293e-01,0.000000000000000000e+00,6.684210300445556641e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.477103590965270996e-01,0.000000000000000000e+00,6.891317367553710938e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.830656886100769043e-01,0.000000000000000000e+00,6.537764072418212891e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.947368144989013672e-01,0.000000000000000000e+00,6.947368383407592773e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.740261673927307129e-01,0.000000000000000000e+00,7.154475450515747070e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.093814969062805176e-01,0.000000000000000000e+00,6.800921559333801270e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.210526227951049805e-01,0.000000000000000000e+00,7.210526466369628906e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.003419756889343262e-01,0.000000000000000000e+00,7.417632937431335449e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.356973052024841309e-01,0.000000000000000000e+00,7.064079642295837402e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.473684310913085938e-01,0.000000000000000000e+00,7.473683953285217285e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.266577243804931641e-01,0.000000000000000000e+00,7.680791020393371582e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.620130538940429688e-01,0.000000000000000000e+00,7.327237725257873535e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.736842393875122070e-01,0.000000000000000000e+00,7.736842036247253418e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.529735326766967773e-01,0.000000000000000000e+00,7.943949103355407715e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.883288621902465820e-01,0.000000000000000000e+00,7.590395212173461914e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.999999880790710449e-01,0.000000000000000000e+00,8.000000119209289551e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.792893409729003906e-01,0.000000000000000000e+00,8.207106590270996094e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.146446704864501953e-01,0.000000000000000000e+00,7.853553295135498047e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.263157963752746582e-01,0.000000000000000000e+00,8.263157606124877930e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
